Animation | rbxassetid://13080725587
Animation2 | http://www.roblox.com/asset/?id=180435792
WalkAnim | http://www.roblox.com/asset/?id=180426354
RunAnim | http://www.roblox.com/asset/?id=180426354
JumpAnim | http://www.roblox.com/asset/?id=125750702
ClimbAnim | http://www.roblox.com/asset/?id=180436334
ToolNoneAnim | http://www.roblox.com/asset/?id=182393478
FallAnim | http://www.roblox.com/asset/?id=180436148
SitAnim | http://www.roblox.com/asset/?id=178130996
Animation1 | http://www.roblox.com/asset/?id=180435571
Animation2 | http://www.roblox.com/asset/?id=180435792
WalkAnim | http://www.roblox.com/asset/?id=180426354
RunAnim | http://www.roblox.com/asset/?id=180426354
JumpAnim | http://www.roblox.com/asset/?id=125750702
ClimbAnim | http://www.roblox.com/asset/?id=180436334
ToolNoneAnim | http://www.roblox.com/asset/?id=182393478
FallAnim | http://www.roblox.com/asset/?id=180436148
SitAnim | http://www.roblox.com/asset/?id=178130996
Animation | rbxassetid://127914425394952
Running | rbxassetid://13076773226
Right | rbxassetid://100087324592640
Left | rbxassetid://101843860692381
Forward | rbxassetid://13118991666
Backwards | rbxassetid://13118523978
RunningDiff | rbxassetid://13320700363
BackDashEscape1 | rbxassetid://122773650110975
BackDashEscape2 | rbxassetid://120777120551122
PortalArm | rbxassetid://14929452252
BackDashEscape1HeroSlayer | rbxassetid://15034820791
BackDashEscape2HeroSlayer | rbxassetid://15034818105
UnlimitedVoid | rbxassetid://14994845626
Hurt1 | rbxassetid://17875112236
Hurt2 | rbxassetid://17875413848
Hurt3 | rbxassetid://17874822792
Hurt4 | rbxassetid://17875808770
AsteroidHold | rbxassetid://15297085964
PortalArmdiff | rbxassetid://15465942131
Blocking | rbxassetid://18112756087
BlockingHeroSlayer | rbxassetid://13340445319
GreenHeroDashComboStarter | rbxassetid://13917336710
SplitIceDashComboStarter | rbxassetid://15271729409
BlueFlamesDashComboStarter | rbxassetid://15271719973
WarpPortalDashComboStarter | rbxassetid://15271724757
TheStrongestDashComboStarter | rbxassetid://15271724757
ExplosionHeroDashComboStarter | rbxassetid://18619394783
HeroSlayerDashComboStarter | rbxassetid://15271714828
EruptionDiveSlam | rbxassetid://16653046059
RunningDiffMastery | rbxassetid://17252578534
HeroSlayerDashComboStarterMastery | rbxassetid://17252916848
BlockingHeroSlayerMastered | rbxassetid://18179863298
HeroSlayerDashComboStarterNoSwordBrassKnuckles | rbxassetid://17694781577
HeroSlayerDashComboStarterNoSword | rbxassetid://17508435581
BlockingMastered | rbxassetid://17825525368
RunningDiffNoSwordMastery | rbxassetid://17579234506
Hurt1Client | rbxassetid://15270388721
Hurt2Client | rbxassetid://15270390518
Hurt3Client | rbxassetid://15270391503
Hurt4Client | rbxassetid://15270302190
Hurt0 | rbxassetid://18112959790
DecayingHatredDashComboStarter | rbxassetid://18838849992
Pushback | rbxassetid://74087727771027
GreenHeroAirDashPunch | rbxassetid://86743029960357
HeroSlayerMasteryAirDashPunch | rbxassetid://130395598543784
HeroSlayerNoKatanaAirDashPunch | rbxassetid://17649179258
SplitIceAirDashPunch | rbxassetid://14152202321
HeroSlayerAirDashPunch | rbxassetid://102473025566264
BlueFlamesAirDashPunch | rbxassetid://128245348584657
WarpPortalAirDashPunch | rbxassetid://14879544106
ExplosionHeroAirDashPunch | rbxassetid://16092548822
DecayingHatredAirDashPunch | rbxassetid://18833993802
GreenHeroDownslam | rbxassetid://15954395010
GreenHeroMasteryDownslam | rbxassetid://92111248640251
HeroSlayerDownslam | rbxassetid://107615036227311
HeroSlayerNoKatanaDownslam | rbxassetid://109708575829293
HeroSlayerMasteryDownslam | rbxassetid://132262044224513
BlueFlamesMasteryDownslam | rbxassetid://98355917751480
SplitIceDownslam | rbxassetid://125507906175034
DecayingHatredDownslam | rbxassetid://88277974758458
ExplosionHeroDownslam | rbxassetid://75613468371391
ExplosionHeroSecondAwakeningDownslam | rbxassetid://110168639274805
WarpPortalDownslam | rbxassetid://14879415243
TheStrongestDownslam | rbxassetid://79887074816893
JetEngineDownslam | rbxassetid://84907270165246
JetEngineAirDashPunch | rbxassetid://110705602348243
JetEngineDashComboStarter | rbxassetid://110878031211717
SpawnAnimationRig | rbxassetid://99830912367736
BlueFlamesDownslam | rbxassetid://73205315902030
BlueFlamesMasteryAirDashPunch | rbxassetid://98941019606744
BlueFlamesDashComboStarterMastery | rbxassetid://76824037836741
AnimationTestFrontDash | rbxassetid://120515398299537
RunningDiffUltMastery | rbxassetid://109541789494415
BlockingHeroSlayerMasteredUlt | rbxassetid://131499120456456
HumanArchitectDashComboStarter | rbxassetid://107997952752051
HumanArchitectDownslam | rbxassetid://128014387387570
HumanArchitectAirDashPunch | rbxassetid://88192092088526
Animation | rbxassetid://102861370699319
Animation | rbxassetid://81945163436286
RealmAnim | rbxassetid://18101106254
Startup | rbxassetid://16846593120
salute | rbxassetid://18705010906
Startup | rbxassetid://73437138930075
Startup | rbxassetid://81770831117684
Startup | rbxassetid://139932785973054
Startup | rbxassetid://89304666789153
Startup | rbxassetid://128017324343221
Startup | rbxassetid://98031077438278
Startup | rbxassetid://104617814564254
Startup | rbxassetid://117917003166800
Startup | rbxassetid://83129246056295
Startup | rbxassetid://93673968234423
Startup | rbxassetid://104854467917894
Startup | rbxassetid://18165237764
Animation | rbxassetid://18869040587
Startup | rbxassetid://86002199705223
End | rbxassetid://116324020409775
Startup | rbxassetid://80121632157100
Startup | rbxassetid://115823242153219
Startup | rbxassetid://130885074623562
Startup | rbxassetid://100106141726464
Startup | rbxassetid://124842251768631
Startup | rbxassetid://127343282553062
HideLoop | rbxassetid://136322163710350
Hide | rbxassetid://135286738848932
WalkLoop | rbxassetid://105657717781817
Startup | rbxassetid://18948456948
Fail | rbxassetid://102029317752349
Startup | rbxassetid://18941858491
Startup | rbxassetid://127489174220991
Startup | rbxassetid://122419037052210
Startup | rbxassetid://101406974492872
RigStartup | rbxassetid://96247412041404
PropLoop | rbxassetid://116285997626193
PropStartup | rbxassetid://104090174893728
LoopPlayer | rbxassetid://18926647199
StartUpPlayer | rbxassetid://18926658598
StartUpProp | rbxassetid://18869490192
StartUpPlayer | rbxassetid://18912454870
LoopPlayer | rbxassetid://18912473538
LoopProp | rbxassetid://18869685165
StartUpPlayerBlackhole | rbxassetid://18869693539
StartUpPropBlackhole | rbxassetid://18869698794
LoopPropBlackhole | rbxassetid://18869746165
LoopPlayerBlackhole | rbxassetid://18869749645
BottleSuccess | rbxassetid://76298138188753
BottleFail | rbxassetid://102785955980064
Startup | rbxassetid://18788268895
CardFail | rbxassetid://87018304303216
CardSuccess | rbxassetid://110501973128625
Cat-Loop | rbxassetid://108216808748300
Startup | rbxassetid://18926641921
Startup | rbxassetid://122721847126881
Startup | rbxassetid://18948456948
Startup | rbxassetid://18943338499
Startup | rbxassetid://18970550078
Startup | rbxassetid://100060546047300
Bow | rbxassetid://18804304539
Startup | rbxassetid://81739797381361
Startup | rbxassetid://136013541383567
Startup | rbxassetid://18950229702
Startup | rbxassetid://18788327555
Startup | rbxassetid://18708237626
Startup | rbxassetid://79188754393508
Success | rbxassetid://134486866133125
Fail | rbxassetid://78098975138543
MysteryProp | rbxassetid://18986811036
Startup | rbxassetid://122841502865371
Startup | rbxassetid://18165237764
Startup | rbxassetid://76531703530873
Startup | rbxassetid://133934012895373
Startup | rbxassetid://15435083096
Startup | rbxassetid://18739753708
Startup | rbxassetid://101250321746198
PropAnim | rbxassetid://117369674555729
SleepingForever | rbxassetid://17281849151
Startup | rbxassetid://122754236317365
Startup | rbxassetid://71928769487724
Startup | rbxassetid://18937291606
CharPunching | rbxassetid://18708721455
PunchingBagHurt | rbxassetid://18708713917
CharPunchingFightBack | rbxassetid://18708841895
PunchingBagFightBack | rbxassetid://18708843299
Swipe | rbxassetid://17341843931
Startup | rbxassetid://134128727583921
EmeraldAnim | rbxassetid://125808565887511
Startup | rbxassetid://104644065047845
Startup | rbxassetid://113237027852348
Startup | rbxassetid://106672396016683
GrassAnim | rbxassetid://102858889681037
Startup | rbxassetid://17488161904
RigStartup | rbxassetid://93087979135410
PropStartup | rbxassetid://96318646654497
PropLoop | rbxassetid://110392469250464
Startup | rbxassetid://106271556697617
Startup | rbxassetid://139650369124067
Startup | rbxassetid://92658039704109
Startup | rbxassetid://18927454923
ThrowSnowball | rbxassetid://15670598679
MakeSnowball | rbxassetid://15435083096
Startup | rbxassetid://77644653092946
Startup | rbxassetid://132426071949668
Startup | rbxassetid://104725578122905
Startup | rbxassetid://80384040715701
Startup | rbxassetid://18698139667
Normal | rbxassetid://18722785676
Fail | rbxassetid://18722781425
Startup | rbxassetid://18697641582
Startup | rbxassetid://127313044471348
Startup | rbxassetid://80345686989062
Startup | rbxassetid://16500046711
Startup | rbxassetid://120090505023246
Startup | rbxassetid://18698465799
Startup | rbxassetid://125461650706540
Startup | rbxassetid://18699793190
Startup | rbxassetid://18526556487
Startup | rbxassetid://140175266375126
Startup | rbxassetid://80527820290392
Startup | rbxassetid://18672239416
Mahoraga Animation | rbxassetid://18526616239
Summoned Animation | rbxassetid://18601725668
Startup1 | rbxassetid://18925577892
Startup2 | rbxassetid://18925583916
Loop1 | rbxassetid://18996912619
Loop2 | rbxassetid://18996801845
Startup | rbxassetid://126164196824231
Startup | rbxassetid://121553390275799
Startup | rbxassetid://127936678012156
Startup | rbxassetid://18273005773
Startup | rbxassetid://138754477567199
Startup | rbxassetid://109192308197301
Variant1Blue | rbxassetid://18672324687
Variant2Red | rbxassetid://18672316616
Startup | rbxassetid://134990921966091
Startup | rbxassetid://93448655147994
Startup | rbxassetid://96672880624569
Startup | rbxassetid://17342129823
Burst | rbxassetid://18273059721
Startup | rbxassetid://18704992448
Startup | rbxassetid://18704924868
Startup | rbxassetid://18705007768
Startup | rbxassetid://18888868268
Start | rbxassetid://18871872192
Startup | rbxassetid://18900866475
Crawl | rbxassetid://18786722604
Normal | rbxassetid://18786451472
Startup | rbxassetid://92871920348354
Startup | rbxassetid://112016190404223
Startup | rbxassetid://89434030607073
Startup | rbxassetid://105686106086429
Startup | rbxassetid://125147351101231
Startup | rbxassetid://135209896987145
Startup | rbxassetid://78689607739538
Startup | rbxassetid://95598458001212
Startup | rbxassetid://96142774075838
Startup | rbxassetid://114649086533528
Startup | rbxassetid://140085457245277
Walk Cycle | rbxassetid://113840948302738
Startup | rbxassetid://120503206943543
Animation | rbxassetid://95007436764341
KillstreakHunter_ATTACKER Startup | rbxassetid://18636386332
KIllstreakHunter_Victim Startup | rbxassetid://18636409563
KillstreakHunter_ATTACKER Startup | rbxassetid://18636386332
KIllstreakHunter_Victim Startup | rbxassetid://18636409563
KillstreakHunter_ATTACKER Startup | rbxassetid://18636386332
KIllstreakHunter_Victim Startup | rbxassetid://18636409563
KillstreakHunter_ATTACKER Startup | rbxassetid://18636386332
KIllstreakHunter_Victim Startup | rbxassetid://18636409563
EndingAnim | rbxassetid://126846625758045
Carved | rbxassetid://14921317438
Startup | rbxassetid://109576607163067
Startup | rbxassetid://76001082237783
Fail | rbxassetid://84518439357108
Success | rbxassetid://129211464217226
Startup1 | rbxassetid://134508433972510
Startup2 | rbxassetid://85626575506495
Startup | rbxassetid://83251434739092
Startup | rbxassetid://91777014910643
Startup | rbxassetid://120933867615769
Startup | rbxassetid://79395146760673
Animation | rbxassetid://122712518168701
Startup | rbxassetid://108124448803859
Startup | rbxassetid://125980165036710
Startup | rbxassetid://85744324518673
Animation | rbxassetid://131536453488155
Animation | rbxassetid://133070733505250
Startup | rbxassetid://113940412633134
Startup | rbxassetid://74227405659321
Startup | rbxassetid://112890948405405
Startup | rbxassetid://74856212274808
Startup | rbxassetid://133952261260648
Startup | rbxassetid://127513573236050
Startup | rbxassetid://16847464054
Startup | rbxassetid://15637465061
Startup | rbxassetid://17478997772
ArmstrongLOOPBARRAGE | rbxassetid://18526938501
ArmstrongATTACKERSTARTUP | rbxassetid://18526854315
GiftAnim | rbxassetid://18928021386
Startup | rbxassetid://114572866379269
Startup | rbxassetid://83906080974319
Startup | rbxassetid://119778925640771
Start | rbxassetid://18911955540
Waiting | rbxassetid://18911956268
PlayingLoop | rbxassetid://18912086811
AirHockeyStarting | rbxassetid://18912341166
Startup | rbxassetid://18912046132
StartedStartupChar | rbxassetid://18912046132
StartedStartupVictim | rbxassetid://18912337278
Startup | rbxassetid://129299749976947
Guilty | rbxassetid://118721797418454
Startup | rbxassetid://86953918633654
Failure | rbxassetid://132768528939313
Startup | rbxassetid://110193993633934
Startup | rbxassetid://79345046758236
Startup | rbxassetid://122492124398905
Startup | rbxassetid://70369622056949
Startup | rbxassetid://107835687718262
Startup | rbxassetid://103751002115818
Startup | rbxassetid://71449292781949
Startup | rbxassetid://104187629575544
Startup | rbxassetid://98597607431017
Startup | rbxassetid://103107755008473
Startup | rbxassetid://84519129110269
Startup | rbxassetid://131795735145428
Animation | rbxassetid://139434744910737
CloneAnim | rbxassetid://125742069205161
CloneAnim | rbxassetid://125742069205161
Uzi | rbxassetid://79764537651388
CloneAnim | rbxassetid://129470257168645
CloneAnim2 | rbxassetid://79499384379122
CloneAnim | rbxassetid://135284941635445
CloneAnim | rbxassetid://84297816540398
CloneAnim2 | rbxassetid://91294546691591
Hurt11 | rbxassetid://13826007350
Hurt12 | rbxassetid://13826006548
Hurt21 | rbxassetid://13826008133
Hurt22 | rbxassetid://13826008804
Animation | rbxassetid://113074040883591
Animation | rbxassetid://128296969146981
FleshAnim | rbxassetid://92604597714482
Animation | rbxassetid://106031995685698
Animation | rbxassetid://76284336973143
Animation | rbxassetid://138790661242600
Present1 | rbxassetid://110083456303568
Present2 | rbxassetid://81754314254524
Present3 | rbxassetid://97700099002920
Present4 | rbxassetid://83855153292818
GlacialCinderFinisherSpike | rbxassetid://127354009989438
GlacialCinderSpike | rbxassetid://124891983762561
Animation | rbxassetid://100211528870430
Clone1 | rbxassetid://77551181624874
Clone2 | rbxassetid://81246830975765
Animation | rbxassetid://104821536464543
Animation1 | rbxassetid://79382552799032
Animation | rbxassetid://136628177252274
Animation | rbxassetid://135063133091172
Clone1 | rbxassetid://138525332027357
Clone2 | rbxassetid://105937954075901
Clone3 | rbxassetid://106958011155729
Clone4 | rbxassetid://93527672530492
Animation | rbxassetid://88785418339768
ErosionLandedArmPart | rbxassetid://100135520644456
ErosionFinisherHeadBloat | rbxassetid://100595521863064
ErosionFinisherArmBloat | rbxassetid://92551295794152
Animation | rbxassetid://139628024195526
RockAnim | rbxassetid://71079855577032
Blocking | rbxassetid://18112756087
HitWhileBlocking1 | rbxassetid://13077130834
HitWhileBlocking2 | rbxassetid://13077132592
Delaware | rbxassetid://13079023611
DelawareAIRVERSION | rbxassetid://13080435063
Uppercut | rbxassetid://14418301215
DarkWhipFinisherEnemy | rbxassetid://14464216371
DarkWhipFinisherPlayer | rbxassetid://14475065974
AirDelawareShotDiff | rbxassetid://14456084852
Downslam | rbxassetid://15954395010
DashComboStarter | rbxassetid://13917336710
DashAirComboStarter | rbxassetid://13143600907
DetroitMove | rbxassetid://13160158675
KickMoveOk | rbxassetid://13147719947
TexasChain | rbxassetid://13159656146
Ultimate | rbxassetid://13186381096
UltKick | rbxassetid://13261845230
UltTpCharge | rbxassetid://13191045860
ULTTpKick2 | rbxassetid://13191138434
UptTpKickAgain2 | rbxassetid://13191261902
UltTpSuperPunch | rbxassetid://13191357584
UltTpDashPunch3 | rbxassetid://13191411397
UltTPOVER | rbxassetid://13191475963
makingenemyfallult | rbxassetid://13210650189
ultbarragefinisher | rbxassetid://13210773399
Jump1UltMove | rbxassetid://13233337912
Jump2UltMove | rbxassetid://13233389938
HitEnemyUltNew | rbxassetid://13236084720
KickMoveOver | rbxassetid://13236483478
ULTGRABFIRST1 | rbxassetid://13273487545
ULTGRABLANDED1 | rbxassetid://13273503307
UltPunchPartAnimated1 | rbxassetid://13280342864
UltPunchPartAnimated2 | rbxassetid://13280345263
UltPunchPartAnimated3 | rbxassetid://13280358478
UltPunchPartAnimated4 | rbxassetid://13280360959
StLouisSmash | rbxassetid://14458594659
QuintupleSmash | rbxassetid://14367481982
CustomHurtAnim1 | rbxassetid://14329487559
CustomHurtAnim3 | rbxassetid://14329490379
CustomHurtAnim2 | rbxassetid://14329488881
CustomHurtAnim4 | rbxassetid://14329500862
DelawareGrabVictim | rbxassetid://14368832665
victimStLouis | rbxassetid://14367453359
playerStLouis | rbxassetid://14353561588
DelawareGrabStart | rbxassetid://14353886247
DelawareGrabOnHit | rbxassetid://14353962893
ManchesterOverloadDash | rbxassetid://14365429412
ManchesterOverloadVictim | rbxassetid://14368064453
ManchesterOverloadGrab | rbxassetid://14366441403
ManchesterOverloadWhipToss | rbxassetid://14402829928
MasteredPunch1 | rbxassetid://14418221527
MasteredPunch2 | rbxassetid://14418229466
MasteredPunch3 | rbxassetid://14430531972
MasteredPunch4 | rbxassetid://14430540093
MasteryUppercut | rbxassetid://14418301215
DownslamMastery | rbxassetid://14430573317
ManchesterOverloadStartled | rbxassetid://14440507384
ManchesterOverloadBeingPulled | rbxassetid://14440503049
punch1 | rbxassetid://15350829298
punch2 | rbxassetid://15350882603
punch3 | rbxassetid://15350830529
punch4 | rbxassetid://15350831651
DetroitDownslamCustom | rbxassetid://15398094295
DarkWhipRagdollVariant | rbxassetid://16282349940
DarkWhipRagdollVariantVictim | rbxassetid://16282351312
Beyond100Startup | rbxassetid://18340622535
Beyond100Victim | rbxassetid://18615653491
Beyond100Victim2 | rbxassetid://18615685445
FINALMOVESTARTUP | rbxassetid://129634511518053
FINALMOVENORMALCHAR | rbxassetid://85139228837806
FINALMOVENORMALVICTIM | rbxassetid://119408780528548
FINALMOVENORMALPART | rbxassetid://79289997484893
FINALMOVEFINISHERCHAR | rbxassetid://75026350311956
FINALMOVEFINISHERVICTIM | rbxassetid://94751471401504
FINALMOVEFINISHERDEBRISPART | rbxassetid://130375249198998
FINALMOVEFINISHERSTARPART | rbxassetid://110698301573903
FINALMOVESTARTUPHIT | rbxassetid://120162515459602
ManchesterRevampFinisherChar | rbxassetid://86287960588533
ManchesterRevampFinisherVictim | rbxassetid://140011806223203
MasteredGreenHeroUltimate | rbxassetid://113372544368121
blackwhip thingsMASTERYULTANIM | rbxassetid://137942838248268
6MASTERYULTANIM | rbxassetid://131986568714814
5MASTERYULTANIM | rbxassetid://138291961001905
4MASTERYULTANIM | rbxassetid://119202391670474
3MASTERYULTANIM | rbxassetid://138921830222076
2MASTERYULTANIM | rbxassetid://128717632060185
1MASTERYULTANIM | rbxassetid://85465954729231
masteryblackwhipthingsloop | rbxassetid://73311495612274
SpawnAnimMasteryBlackWhip | rbxassetid://95365480939171
NeckStartMastered | rbxassetid://123332368849827
NeckLoopMastered | rbxassetid://80256681811402
Mastered120Startup | rbxassetid://138810284998137
120%NORMAL | rbxassetid://98892547930259
120%VICTIM | rbxassetid://121706226948527
blackwhip120Mastered | rbxassetid://88395006800697
ManchesterRevamp | rbxassetid://120500457270308
platform2Mastered | rbxassetid://97392364169833
120% treeMasteredFinisher | rbxassetid://70820241499766
platform1MasteredFinisher | rbxassetid://138790661242600
tornadoMasteredFinisher | rbxassetid://106648671325679
120%FinisherVictim | rbxassetid://87526335401034
120%FINISHER | rbxassetid://120986794091951
platformpreloading | rbxassetid://93373990177784
45%STARTUP | rbxassetid://102520487144286
45%CHAR | rbxassetid://70393912635703
45%VICTIM | rbxassetid://83222080061391
45%FinisherChar | rbxassetid://94191547562715
45%VICTIMFinisher | rbxassetid://123703399357327
LightningCrushStartup | rbxassetid://97160308417329
LightningCrushStartupPole | rbxassetid://121755326127677
LightningCrushHit | rbxassetid://98381538659342
LightningCrushHitVictim | rbxassetid://88856125499320
LightningCrushNormalRocks | rbxassetid://79215880613643
ThunderCrushRocksFinisher | rbxassetid://99413099086088
ThunderCrushFinisher | rbxassetid://124133412783031
ThunderCrushFinisherVictim | rbxassetid://100247204626109
MasteryUltFourthMoveStartup | rbxassetid://127050423176787
FourthMoveGreenHeroHitVictim | rbxassetid://93750090913811
FourthMoveGreenHeroHitBlackWhip | rbxassetid://101262248913895
FourthMoveGreenHeroHit | rbxassetid://102454870061936
FourthMoveGreenHeroBlackwhipFinisher | rbxassetid://130121974381532
FourthMoveGreenHeroFinisher | rbxassetid://74115131918725
FourthMoveGreenHeroFinisherVictim | rbxassetid://105435474272891
platform1Mastered | rbxassetid://78894835160926
Hurt12 | rbxassetid://15270299793
Hurt11 | rbxassetid://15270298738
Punch1 | rbxassetid://13083792173
Punch2 | rbxassetid://13079363435
Punch3 | rbxassetid://13079407807
Punch4 | rbxassetid://13083620461
PillarGettingHit | rbxassetid://15768670675
PillarHitting | rbxassetid://15768939661
DashComboStarter | rbxassetid://13143609494
TreeHitting | rbxassetid://13159335637
TreeGettingHit | rbxassetid://13159337150
DetroitMove | rbxassetid://13135729138
PillarHittingFinisher | rbxassetid://13163880869
PillarGettingHitFinisher | rbxassetid://13163878111
TrashHitting | rbxassetid://13169748919
TrashGettingHit | rbxassetid://13169750234
WoodPillarHit | rbxassetid://13209947361
TrashCanGettingHit | rbxassetid://13170023383
WoodPillarGettingHit | rbxassetid://13209469291
TrashCanHitting | rbxassetid://13170024456
TrashCanHittingHeroSlayer | rbxassetid://13339223202
NEWTreeGettingHit | rbxassetid://15768202029
NEWTreeHitting | rbxassetid://15768200782
NEWTrashCanGettingHit | rbxassetid://15768314180
NEWTrashCanHitting | rbxassetid://15768312795
NEWPillarGettingHit | rbxassetid://15769332913
NEWPillarHitting | rbxassetid://15793899454
NEWPillarSwordGettingHit | rbxassetid://15769322760
NEWPillarSwordHitting | rbxassetid://15806142580
NEWBenchGettingHit | rbxassetid://15769461049
NEWBenchHitting | rbxassetid://15769459347
WoodPillarHit | rbxassetid://13209147822
BenchSlamGettingHit | rbxassetid://13170276775
WoodPillarGettingHit | rbxassetid://13209145777
BenchSlamHit | rbxassetid://13170275774
TreeHittingDiff1 | rbxassetid://13331849023
TreeGettingHitDiff1 | rbxassetid://13331958028
SwordHittingTreeDiff1 | rbxassetid://13339451626
SwordGettingHitTreeDiff1 | rbxassetid://13339356496
TvGettingHit | rbxassetid://14152488199
TvHit | rbxassetid://14152486911
JukeboxHitting | rbxassetid://14213329014
JukeboxGettingHit | rbxassetid://14213331047
Uppercut | rbxassetid://13175866986
DrawingCast | rbxassetid://13198269837
Person | rbxassetid://73627413415474
Player | rbxassetid://74272459563206
Props | rbxassetid://108687467142016
Person | rbxassetid://88197073990952
Player | rbxassetid://132204062778550
Props | rbxassetid://123235517669772
Person | rbxassetid://129627057244350
Player | rbxassetid://131797742635864
Props | rbxassetid://121802886526855
Person | rbxassetid://115382729953241
Player | rbxassetid://129221855465000
Props | rbxassetid://133562528407323
Person | rbxassetid://99501990217227
Player | rbxassetid://89854244851406
Props | rbxassetid://87700870414266
Person | rbxassetid://128543381779340
Player | rbxassetid://70769316623726
Props | rbxassetid://120833399860947
Person | rbxassetid://106815620786101
Player | rbxassetid://98588023052354
Props | rbxassetid://72517261504721
Extra | rbxassetid://106818194726458
Person | rbxassetid://124502710327841
Player | rbxassetid://109408726017769
Props | rbxassetid://86013689555637
Person | rbxassetid://95831072604934
Player | rbxassetid://91195243431308
Props | rbxassetid://119789886557446
Gun | rbxassetid://71881461583615
DashPunchComboStarter | rbxassetid://15271719973
ChargingAzure | rbxassetid://13422994507
FinalM1 | rbxassetid://13439784370
BurningBlueFlameAttack | rbxassetid://16998675353
BurningBlueFinalAttack | rbxassetid://13461033858
EmberEruption | rbxassetid://13473842016
EruptDash | rbxassetid://13528752253
Ultimate | rbxassetid://13584284573
UltUserSlam | rbxassetid://13618016179
UltUserGettingSlammed | rbxassetid://13618014062
GrabUltAttempt | rbxassetid://13618038577
frostflamething | rbxassetid://13644046903
flamewaveburst | rbxassetid://13658122328
ultpunch1 | rbxassetid://13806339737
ultpunch2 | rbxassetid://13806340257
ultpunch3 | rbxassetid://13806341043
ultpunch4 | rbxassetid://13806341541
PROMINENCEBURNDASH | rbxassetid://13845967429
PROMINENCEBURNCHAR | rbxassetid://13846106162
PROMINENCEBURNTARGET | rbxassetid://13846080210
EmberBurstGettingHit | rbxassetid://14821197829
AzureGrabAttempt | rbxassetid://14821215415
AzureGrabEnemy | rbxassetid://14911560173
AzureGrabChar | rbxassetid://14821238892
punch1 | rbxassetid://16605699401
punch2 | rbxassetid://16605828199
punch3 | rbxassetid://16605774003
punch4 | rbxassetid://14989482371
Uppercut | rbxassetid://16180009067
DownslamLeft | rbxassetid://18701029005
MasteredPunch1 | rbxassetid://136834339390162
MasteredPunch4 | rbxassetid://80198032204286
MasteredPunch3 | rbxassetid://88299904129652
MasteredPunch2 | rbxassetid://123341948127122
MasteryUppercut | rbxassetid://83618626408011
InfernalAssaultHit | rbxassetid://94960472764569
InfernalAssaultDash | rbxassetid://88923671606194
InfernalAssaultStart | rbxassetid://80883313467826
InfernalAssaultHitVictim | rbxassetid://70521316009755
HellShotBlast | rbxassetid://100659094680580
HellShotScytheFinisherVictim | rbxassetid://136705978656061
InfernalAssaultFinisherChar | rbxassetid://92788001004284
InfernalAssaultFinisherVictim | rbxassetid://107832926474719
InfernalAssaultAirStart | rbxassetid://92302555664633
GlacialCinderStart | rbxassetid://90533677894403
GlacialCinderHitVictim | rbxassetid://101905286620662
GlacialCinderHit | rbxassetid://108065381534614
GlacialCinderFinisherVictim | rbxassetid://91074281902355
GlacialCinderFinisher | rbxassetid://105124909169010
ScorchingSurgeActivate | rbxassetid://136750425614504
ScorchingSurgeDeactivate | rbxassetid://83407212400822
HellAssaultStart | rbxassetid://136306928641570
HellAssaultHit | rbxassetid://77433780912583
HellAssaultHitVictim | rbxassetid://121677943009453
HellAssaultFinisherVictim | rbxassetid://134319629550584
